doc.type.find.replace
", sf form"
", (amend) dkt 72"
"budget, draft"
"budget, final"
"statement, draft"
"bulletin, draft"
"letter, draft"
"exam, draft"
"nureg, draft"
"guide, draft"
"report, draft"
"technical specification, "
", nrc form"
"report, administrative"
"report, miscellaneous"
"report, technical"
", draft"
", amendment"
"order, confirmatory"
"report, monthly"
", verbal"
", reply"
"renewal, report"
"license-operator,"
"form 474, simulation,"
"form 398, personal"
"form 396, certification"
"cask, isfsi, (amend)"
"30, 40, 50, 70"
"30, 40, 70"
"40, 50, 70"
"40, 70"
"petition, responses"
"correspondence, outgoing"
"inspections, tests, analyses, and"
", initial"
"rfps, invitation to bid, request"
", gsa"
"contract, grant, or agreement"
", offer"
