"","AddresseeAffiliation","AuthorName","Keyword","MimeType","LicenseNumber","AuthorAffiliation","CaseReferenceNumber","DocumentType","DocketNumber","CompoundDocumentState","EstimatedPageCount","ContentSize","DocumentTitle","AccessionNumber","PublishDatePARS","DocumentDate","URI","AddresseeName","DocumentReportNumber","DateDocketed","PackageNumber"
"1","NRC/RGN-III","Kwasny M","oarc20060203mab8, oarc20060210mab8, oarc20060306mab8, oarc20060309mab8, oarc20060801mab8, oarc20060802mab8, oarc20060803mab8, oarc20060804mab8, oarc20060823mab8, oarc20060824mab8, oarc20060907mmn, oarc20060919mmn, oarc20060925mmn, OARC20061002mjr=Removed Non-Public Pending Review-Released, Added the SUNSI comment and release date, OARC20061201MAB8, OARC20070118MAB8, oarc20080424wjd1, stt, SUNSI Review Complete, tjb2","application/pdf","DPR-002, DPR-012, DPR-019, DPR-021, DPR-029, DPR-030, DPR-044, DPR-046, DPR-056, DPR-058, DPR-062, DPR-063, DPR-065, DPR-071, DPR-074, NPF-002, NPF-008, NPF-029, NPF-037, NPF-049, NPF-066, NPF-069","Whiting Corp","41318","Deficiency Report (per 10CFR50.55e and Part 21), Part 21 Correspondence","05000010, 05000171, 05000220, 05000237, 05000245, 05000254, 05000265, 05000271, 05000277, 05000278, 05000298, 05000315, 05000316, 05000322, 05000324, 05000325, 05000336, 05000348, 05000364, 05000410, 05000416, 05000417, 05000423","false ","4","191,613","01/05/2005 Non-Emergency Event Report, ""Overstress Condition on Single Failure Proof Crane Trolleys"".","ML050110223","10/03/2006 08:57 AM EDT",2005-01-07,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BCCEBA026-B2BB-4CAD-BAF8-0E5A46D7038F%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=01/05/2005 Non-Emergency Event Report, ""Overstress Condition on Single Failure Proof Crane Trolleys"".",NA,NA,NA,NA
"2","Transnuclear West, Inc","Brach E W","NMSS keep, NMSS/RGN Materials-001, oarc20020924dnw, OARC20021030mjr=Added docket number WM-00011, OARC20041112RFPFR=Unfiled from//April 2000/April 10, 2000, oarc20060714mmn, oarc20060717mmn, OARC20071023mjr=Changed the availability, Added the SUNSI comment and released date, SUNSI Review Complete","application/pdf",NA,"NRC/NMSS/SFPO","-RFPFR, TAC L23055","Part 21 Correspondence","07109255, WM-00011","false ","3","14,503","03/31/00 - Ltr to RMGrenier fr EWBrach re Public Disclosure Determination, Transnuclear West, Inc., Application for Amendment of Certificate of Compliance No. 9255 (NUHOMS MP187 Transportation Package) - ML003700128","ML003700128","10/23/2007 12:35 PM EDT",2000-03-31,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BCCF9F1C4-C0BF-489C-9A55-573B0A9F1712%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=03/31/00 - Ltr to RMGrenier fr EWBrach re Public Disclosure Determination, Transnuclear West, Inc., Application for Amendment of Certificate of Compliance No. 9255 (NUHOMS MP187 Transportation Package) - ML003700128","Grenier R M","NUHOMS MP187 Transportation Pkg.",NA,NA
"3",NA,"Hall V E","SUNSI Review Complete, lxk1, jef1, utsPARS","application/pdf",NA,"NRC/NRO/DCIP/CQVB","10 CFR Part 21","Meeting Briefing Package/Handouts, Part 21 Correspondence, Slides and Viewgraphs",NA,"false ","14","3,476,191","06/15-16/2011 NUPIC Part 21 Presentation.","ML111610599","06/13/2011 11:12 AM EDT",2011-06-13,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B6FC73753-462A-4DD4-ACE2-4187BF0D43B2%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=06/15-16/2011 NUPIC Part 21 Presentation.",NA,NA,NA,NA
"4","NRC/OCIO/IMD/RMB","Hampton W G","oarc20020320jdb3, OARC20020409JDB3, oarc20020417jdb3, oarc20020430jdb3, oarc20020918mmn, oarc20021203dnw, oarc20021204mmn, oarc20021206dnw, oarc20021211dnw, oarc20021212dnw, oarc20021213dnw, oarc20021217dnw, oarc20021218dnw, oarc20021219dnw, oarc20021224dnw, TIFF converted to PDF 12/05/2005","application/pdf","DPR-026, DPR-032, DPR-037, DPR-038, DPR-047, DPR-051, DPR-055, DPR-072, DPR-077, DPR-079, DPR-080, DPR-082, NPF-006, NPF-035, NPF-038, NPF-052","Solidstate Controls, Inc",NA,"Part 21 Correspondence","05000247, 05000269, 05000270, 05000275, 05000280, 05000281, 05000287, 05000302, 05000313, 05000323, 05000327, 05000328, 05000368, 05000382, 05000413, 05000414","false ","7","293,128","10 CFR 21 NOT1FICATION - POTENTIAL DEFECT INVOLVING STATIC SWITCH CONTROL ASSEMBLY AND REGULATED RECTIFIER CONTROL ASSEMBLY USED IN AN UNINTERRUPTABLE POWER SYSTEM","ML003685345","02/28/2000 01:11 PM EST",2000-01-26,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BFD271796-9727-4A10-818E-BE5A4627B4F8%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=10 CFR 21 NOT1FICATION - POTENTIAL DEFECT INVOLVING STATIC SWITCH CONTROL ASSEMBLY AND REGULATED RECTIFIER CONTROL ASSEMBLY USED IN AN UNINTERRUPTABLE POWER SYSTEM",NA,NA,NA,NA
"5","NRC/OCIO/IMD/RMB","Soler M","TIFF converted to PDF 12/11/2005","application/pdf",NA,"Holtec International","FOIA/PA-2001-0189, FOIA/PA-2003-0395, HL1020-006","Part 21 Correspondence",NA,"false ","7","352,399","10 CFR 21 Notification for Fabrication of NS-4-FR Neutron Shield Material","ML003719586","10/03/2001 11:09 AM EDT",2000-05-26,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B6074B950-7B9D-480C-BF0F-9B6319CDA88C%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=10 CFR 21 Notification for Fabrication of NS-4-FR Neutron Shield Material",NA,NA,NA,NA
"6","NRC/Document Control Desk, NRC/NRR","Holm J S","nppradd, nrpars, oarc20070806mmn, OARC20080324mjr=Removed Non-Public Pending Review-Released, Changed the availability, Added the SUNSI comment, date reviewed and release date, stt, SUNSI Review Complete, tjb2, utsPARS","application/pdf",NA,"Framatome ANP, Inc","NRC:05:013","Letter, Part 21 Correspondence","PROJ0728","false ","3","112,283","10 CFR Part 21 Notification of an Error in BWR Operating Limit.","ML050660291","03/24/2008 03:43 PM EDT",2005-03-02,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B33EE4870-885A-49AB-82DC-3444F5E3CF34%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=10 CFR Part 21 Notification of an Error in BWR Operating Limit.",NA,NA,NA,NA
"7","NRC/Document Control Desk, NRC/NRR","Udrys A T","jef1, JRR3, OARC20020715jld1=1. Added release date and changed availability and sensitivity to allow for immediate replication., OARC20020715sih, oarc20021203mmn, OARC20030102LME, OARC20070914MAB8, oarc20080515wjd1, TIFF converted to PDF 11/02/2005","application/pdf","CPPR-0082, NPF-003","Consumers Energy","10 CFR 21","Part 21 Correspondence","05000330, 05000346","false ","6","237,168","10 CFR Part 21 Notification re Sale of Consumers Energy Company Midland Unit 2 Reactor Pressure Vessel Head for Use at Davis Besse.","ML021550411","07/15/2002 03:06 PM EDT",2002-05-23,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BAA38B599-49F1-440D-B574-1E56AA48E1B6%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=10 CFR Part 21 Notification re Sale of Consumers Energy Company Midland Unit 2 Reactor Pressure Vessel Head for Use at Davis Besse.",NA,"38936",NA,NA
"8","NRC/Document Control Desk, NRC/NRR","Barry R D","oarc20070524rbs=Removed Non-Public Pending Review-Released, Changed Availability and added Date to be Released, added date to Date Reviewed for Public Release, OARC20070820MAB8, stt, SUNSI Review Complete, tjb2","application/pdf",NA,"Flowserve Corp",NA,"Part 21 Correspondence","05000244, 05000259, 05000260, 05000296, 05000327, 05000328, 05000390, 05000391, 05000438, 05000439, 05000445, 05000446, 05000528, 05000529, 05000530","false ","38","2,043,631","10 CFR Part 21 Report Concerning 3"" and 4"" Borg Warner Check Valves, Amendment of Information Previously Supplied.","ML071430262","05/24/2007 10:12 AM EDT",2007-05-17,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B9F1FB920-E5FF-4E8A-B23E-5818043478F0%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=10 CFR Part 21 Report Concerning 3"" and 4"" Borg Warner Check Valves, Amendment of Information Previously Supplied.",NA,NA,NA,NA
"9","NRC/Document Control Desk, NRC/FSME","Wilson M S","dnw, oarc20040713dnw, OARC20041115RFPFR=Unfiled from//January 2004/January 29, 2004, OARC20060908MAB8, OARC20070904MAB8, tjb2, OARC20111027sih-Added SUNSI Comment and Release Date., SUNSI Review Complete, utsPARS","application/pdf","DPR-013, NPF-010, NPF-015","MGP Instruments, Inc","-RFPFR","Letter, Part 21 Correspondence","05000206, 05000361, 05000362","false ","4","200,579","10 CFR Part 21 Report Notification Regarding Radiation Monitoring System, Particulate Type, Possible Underestimation of Volumetric Activity Following an Automatic Filter Advance.","ML040200300","10/27/2011 03:35 PM EDT",2004-01-14,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B3195C19D-1BAC-4B28-82A4-5B5FF46E202F%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=10 CFR Part 21 Report Notification Regarding Radiation Monitoring System, Particulate Type, Possible Underestimation of Volumetric Activity Following an Automatic Filter Advance.",NA,NA,NA,NA
"10","NRC/Document Control Desk, NRC/NRR","Porter D E","EIEAutoPop, gjn1, OARC20140904mtr1-Removed Non-Public Pending Review-Released, Added SUNSI Comment, Review and Release Date., OARC20141003dnd-Added Docket Number., rls1, SUNSI Review Complete, utsPARS","application/pdf",NA,"GE-Hitachi Nuclear Energy Americas, LLC","MFN 14-013 R2","Letter, Part 21 Correspondence","05200001, 05200045","false ","14","263,750","10 CFR Part 21.21(a)(2) Closure Report Notification: Containment Loads Potentially Exceed Limits with High Suppression Pool Water Level in the ABWR Design.","ML14241A306","09/04/2014 12:26 PM EDT",2014-08-29,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BB1CC01A5-13FE-4926-ADD6-84EC4836DB82%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=10 CFR Part 21.21(a)(2) Closure Report Notification: Containment Loads Potentially Exceed Limits with High Suppression Pool Water Level in the ABWR Design.",NA,NA,NA,NA
